"Story","Title","Result","Date","Stability","Duration (s)"
"Load HomePage","Getting In To The Website","SUCCESS","2022-12-05T11:46:34.7515728-05:00[America/Bogota]","0.0","18.22"
"Login","Login on The Website","SUCCESS","2022-12-05T11:46:53.220866-05:00[America/Bogota]","0.0","26.94"
